Archivo,Profesor,Grupo,Materia,Horas_Semana,Dia,Hora_Inicio,Hora_Fin,Bloque_Horario,Salon,Tipo_Salon,Piso,Es_Invalido,Es_Primer_Semestre
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2135/A,PROGRAMACIÓN VISUAL,5,Martes,13:14,13:15,1314,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2135/A,PROGRAMACIÓN VISUAL,5,Miercoles,13:14,13:15,1314,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2135/A,PROGRAMACIÓN VISUAL,5,Jueves,13:14,13:15,1314,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2135/A,PROGRAMACIÓN VISUAL,5,Viernes,13:14,13:15,1314,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4506/B,TALLER DE SISTEMAS OPERATIVOS,4,Lunes,13:14,13:15,1314,LBD,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4506/B,TALLER DE SISTEMAS OPERATIVOS,4,Martes,13:14,13:15,1314,LBD,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4506/B,TALLER DE SISTEMAS OPERATIVOS,4,Miercoles,13:14,13:15,1314,LBD,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4506/B,TALLER DE SISTEMAS OPERATIVOS,4,Jueves,13:14,13:15,1314,LBD,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2605/B,COMPUTACIÓN PARA INGENIERÍA PETROLERA,5,Lunes,13:14,13:15,1314,LSO,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2605/B,COMPUTACIÓN PARA INGENIERÍA PETROLERA,5,Martes,13:14,13:15,1314,FF7,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2605/B,COMPUTACIÓN PARA INGENIERÍA PETROLERA,5,Miercoles,13:14,13:15,1314,LSO,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2605/B,COMPUTACIÓN PARA INGENIERÍA PETROLERA,5,Jueves,13:14,13:15,1314,FF7,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2605/B,COMPUTACIÓN PARA INGENIERÍA PETROLERA,5,Viernes,13:14,13:15,1314,LIA,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,6503/A,REDES DE COMPUTADORAS,5,Lunes,14:15,14:16,1415,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,6503/A,REDES DE COMPUTADORAS,5,Martes,14:15,14:16,1415,FF3,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,6503/A,REDES DE COMPUTADORAS,5,Miercoles,14:15,14:16,1415,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,6503/A,REDES DE COMPUTADORAS,5,Jueves,14:15,14:16,1415,FF3,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,6503/A,REDES DE COMPUTADORAS,5,Viernes,14:15,14:16,1415,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,3556/B,PROGRAMACIÓN ESTRUCTURADA,5,Lunes,15:16,15:17,1516,LCA,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,3556/B,PROGRAMACIÓN ESTRUCTURADA,5,Martes,15:16,15:17,1516,FFD,Teoría,Planta Alta,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,3556/B,PROGRAMACIÓN ESTRUCTURADA,5,Miercoles,15:16,15:17,1516,LCA,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,3556/B,PROGRAMACIÓN ESTRUCTURADA,5,Jueves,15:16,15:17,1516,FFD,Teoría,Planta Alta,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,3556/B,PROGRAMACIÓN ESTRUCTURADA,5,Viernes,15:16,15:17,1516,LCG2,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4556/B,PROGRAMACIÓN VISUAL,5,Lunes,16:17,16:18,1617,LCG1,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4556/B,PROGRAMACIÓN VISUAL,5,Martes,16:17,16:18,1617,LCG1,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4556/B,PROGRAMACIÓN VISUAL,5,Miercoles,16:17,16:18,1617,LCG1,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4556/B,PROGRAMACIÓN VISUAL,5,Jueves,16:17,16:18,1617,LCG1,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,4556/B,PROGRAMACIÓN VISUAL,5,Viernes,16:17,16:18,1617,LCG1,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,1502/E,FUNDAMENTOS DE PROGRAMACIÓN,5,Lunes,16:17,16:18,1617,FF2,Teoría,Planta Baja,0,1
