Grupo,Materia.,Lunes,Martes,Miercoles,Jueves,Viernes,Class
1 [] [] SIN PROFESOR ASIGNADO,,,,,,,
7504/B,TALLER DE INVESTIGACIÓN I,1415/FF7,1415/LCG1,1415/FF7,1415/LCG1,,4
,,,,,,,
PROFESOR 10,,,,,,,
4504/A,FUNDAMENTOS DE BASE DE DATOS,0910/FF7,0910/LCA,0910/FF7,0910/LCA,0910/FF7,5
5504/C,TALLER DE BASE DE DATOS,1011/LCA,1011/FF7,1011/LCA,1011/FF7,,4
,,,,,,,
PROFESOR 11,,,,,,,
4504/B,FUNDAMENTOS DE BASE DE DATOS,1112/LCG1,1112/LCG1,1112/LCG1,1112/LCG1,1112/LCG1,5
4114/A,FUNDAMENTOS DE BASE DE DATOS,1213/AV2,1213/AV2,1213/AV2,1213/AV2,1213/AV2,5
,,,,,,,
PROFESOR 12,,,,,,,
5504/B,TALLER DE BASE DE DATOS,1314/FFB,1314/LIA,1314/FFB,1314/LIA,,4
5504/A,TALLER DE BASE DE DATOS,1415/LCG1,1415/FFB,1415/LCG1,1415/FFB,,4
4504/C,FUNDAMENTOS DE BASE DE DATOS,1516/LCG1,1516/FFB,1516/LCG1,1516/FFB,1516/LCG1,5
5114/A,TALLER DE BASE DE DATOS,1617/AV1,1617/AV1,1617/AV1,1617/AV1,,4
2531/E,PROGRAMACIÓN,1819/FFC,1819/LCG2,1819/FFC,1819/LCG2,,4
,,,,,,,
PROFESOR 13,,,,,,,
1502/B,FUNDAMENTOS DE PROGRAMACIÓN,0910/FF3,0910/FF3,0910/FF3,0910/FF3,0910/FF3,5
750D/B,PROGRAMACIÓN WEB,1011/LBD2,1011/FF8,1011/LBD2,1011/FF8,1011/LSO,5
,,,,,,,
PROFESOR 14,,,,,,,
3506/D,ESTRUCTURA DE DATOS,1617/LR,1617/LSO,1617/LR,1617/LSO,1617/LR,5
2502/D,PROGRAMACIÓN ORIENTADA A OBJETOS,1718/FFD,1718/LCG1,1718/FFD,1718/LCG1,1718/LBD,5
4505/C,TÓPICOS AVANZADOS DE PROGRAMACIÓN,1819/LSO,1819/LSO,1819/LSO,1819/LSO,1819/LSO,5
,,,,,,,
PROFESOR 15,,,,,,,
3506/A,ESTRUCTURA DE DATOS,0910/LCG1,0910/FFC,0910/LCG1,0910/FFC,0910/FFC,5
2502/C,PROGRAMACIÓN ORIENTADA A OBJETOS,1011/FFD,1011/LCG2,1011/FFD,1011/LCG2,1011/LIA,5
3116/A,ESTRUCTURA DE DATOS,1112/AV1,1112/AV1,1112/AV1,1112/AV1,1112/AV1,5
,,,,,,,
PROFESOR 16,,,,,,,
2531/C,PROGRAMACIÓN,0910/LSO,0910/FF7,0910/LSO,0910/FF7,,4
3505/A,SISTEMAS OPERATIVOS,1011/FF6,1011/FF3,1011/FF6,1011/FF3,,4
3505/C,SISTEMAS OPERATIVOS,1112/LBD,1112/LBD,1112/LBD,1112/LBD,,4
8504/C,ADMINISTRACIÓN DE REDES,1213/LR,1213/FF8,1213/LR,1213/FF8,,4
3505/B,SISTEMAS OPERATIVOS,1617/LBD,1617/LBD,1617/LBD,1617/LBD,,4
,,,,,,,
PROFESOR 17,,,,,,,
2502/A,PROGRAMACIÓN ORIENTADA A OBJETOS,0910/FF5,0910/LSO,0910/FF5,0910/LSO,0910/LSO,5
850M/B,PROGRAMACIÓN NATIVA PARA MÓVILES,1011/LCG1,1011/FFB,1011/LCG1,1011/FFB,1011/FFB,5
850N/A,INTERFACES PARA INTELIGENCIA DE NEGOCIOS,1112/LR,1112/FF5,1112/LR,1112/FF5,1112/LR,5
4505/D,TÓPICOS AVANZADOS DE PROGRAMACIÓN,1314/LCA,1314/LCA,1314/LCA,1314/LCA,1314/LCA,5
,,,,,,,
PROFESOR 18,,,,,,,
